gallery_index,dag_id,tools,num_nodes,action_label,semantic_label,tsne_x,tsne_y,action_silhouette,semantic_silhouette,action_knn_purity,semantic_knn_purity
36,415,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,1.338312,17.223776,-0.3266647,0.014950367,1.0,1.0
37,416,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,-1.2270033,14.375452,-0.25036934,0.024039945,0.8,0.8
38,417,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,1.7061144,16.02356,-0.33761778,0.027218176,0.6,0.6
39,418,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,2.902531,16.975655,-0.33985302,0.0004742495,0.8,0.8
40,419,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,-5.3861356,-0.60693055,-0.08619887,-0.08809861,0.8,0.8
41,420,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,-6.826745,-3.0138426,-0.04212038,-0.059278738,0.4,0.8
42,421,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,-6.7201886,6.157975,-0.024878966,-0.06867332,0.4,0.4
43,422,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,-5.01783,-2.0559793,-0.08788155,-0.11777377,0.8,0.8
44,423,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,-6.235109,-1.0014803,-0.055312272,-0.083025955,0.6,0.6
45,424,check_service_status;read_database_record;update_subscription_plan;create_support_ticket,4,Mixed,Service & Incident Operations,6.002167,2.4886734,0.058216456,0.036172263,0.6,0.6
46,425,check_service_status;read_database_record;update_subscription_plan;create_support_ticket,4,Mixed,Service & Incident Operations,5.06466,-14.0059,0.04989379,0.07145715,0.8,0.8
47,426,check_service_status;read_database_record;update_subscription_plan;create_support_ticket,4,Mixed,Service & Incident Operations,-1.9727829,-7.5469,0.03691029,0.01338439,0.4,0.4
48,427,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,-7.7710047,15.022683,-0.108136825,-0.094320394,1.0,0.8
49,428,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,-9.213206,13.956348,-0.042807445,-0.09733816,0.8,0.8
50,429,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,-7.5810494,11.373369,-0.07349425,-0.10422182,0.6,0.6
51,430,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,-7.7809076,13.218823,-0.10216784,-0.10307505,1.0,0.8
52,431,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,-8.235445,14.97859,-0.049009673,-0.060636137,0.6,0.6
53,432,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,1.2039206,10.608349,-0.03443353,-0.01867614,1.0,0.8
54,433,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,-9.81091,-5.757087,0.04204749,-0.0215795,0.8,0.4
55,434,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,-1.3408769,13.243666,-0.0091967685,-0.028915541,0.8,0.6
56,435,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,-0.4089727,11.068656,-0.1092852,0.017180102,0.6,0.6
57,436,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,0.7080421,10.953173,-0.10836503,-0.01565496,0.8,0.6
58,437,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,5.829233,15.948826,0.5090451,0.05177765,0.4,0.4
59,438,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,8.4870205,14.192052,0.47638348,0.020934204,0.2,0.2
60,439,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,3.813002,13.018572,0.40828583,0.06782635,0.4,0.4
61,440,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,5.908729,13.682916,0.46698955,0.045079295,0.4,0.4
62,441,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,5.7889967,15.156173,0.56935966,0.010878273,0.8,0.8
63,442,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,21.268066,-10.3406925,0.06562235,0.0738626,0.8,0.8
64,443,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,-16.906475,4.552293,-0.012990274,0.06294061,0.8,0.6
65,444,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,-18.120787,6.0077157,0.011788944,0.059285555,0.8,0.8
66,445,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,20.796427,-11.924398,0.034763873,0.037307892,0.8,0.8
67,446,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,21.62165,-10.895971,0.07727769,0.08511816,0.8,0.8
68,447,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-24.21326,2.1838603,0.025750833,0.10203982,0.6,1.0
69,448,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-23.488022,-1.2493869,-0.025860941,0.07187664,0.4,0.8
70,449,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-18.578047,8.224603,0.016108492,0.08927925,0.2,0.6
71,450,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-21.997732,5.760886,0.04568415,0.13777615,0.6,1.0
72,451,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-24.540127,3.8755107,0.055022206,0.09112862,0.6,0.8
73,452,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-23.020733,2.3499856,-0.034834348,0.08609811,0.6,0.8
74,453,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-22.596691,0.21333276,-0.0721772,0.0795256,0.6,1.0
75,454,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-18.829859,6.498284,-0.060704764,0.07330909,0.6,0.8
76,455,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-21.172573,4.9539537,-0.01830698,0.09840492,0.6,0.6
77,456,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-23.670048,3.4793286,0.0074786847,0.10567368,1.0,1.0
78,457,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-16.32385,-11.3750725,0.010501217,0.082423225,1.0,0.8
79,458,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-14.155844,-11.543723,-0.008673452,0.12342484,0.8,0.8
80,459,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-15.072575,-9.524483,-0.06948236,0.09937384,0.6,0.4
81,460,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-14.91323,-10.342136,0.009530909,0.10123503,1.0,1.0
82,461,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-16.24597,-11.57953,0.0017601156,0.09438306,1.0,0.8
83,462,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-24.651243,1.908187,0.008218038,0.112443,0.4,1.0
84,463,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-23.457108,-1.3111496,0.034237076,0.09023986,0.4,0.8
85,464,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-18.531347,8.253717,-0.0012793968,0.10292902,0.2,0.6
86,465,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-23.022116,6.5182047,0.0070860847,0.113330774,0.2,1.0
87,466,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-25.24844,4.352944,-0.074931905,0.08490206,0.2,1.0
88,467,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-1.6263487,-0.7910604,0.0904779,0.20689799,0.8,0.4
89,468,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-7.334136,-5.5717754,0.091899075,0.18365347,0.8,0.4
90,469,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-5.8042183,6.7271533,0.03765401,0.15596305,0.4,0.6
91,470,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-4.8781962,-4.589522,0.12614655,0.16827649,0.8,0.8
92,471,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-1.1827952,-2.152302,0.0012815332,0.25426626,0.8,1.0
93,472,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,-11.148592,3.1293805,0.1199719,0.060513828,1.0,0.6
94,473,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,-11.255038,-5.3318024,0.17318407,0.025658945,1.0,0.0
95,474,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,-9.496664,9.048015,0.10165439,0.04455496,0.8,0.4
96,475,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,-10.199162,4.5904045,0.12923917,0.0749629,1.0,0.8
97,476,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,-11.574346,3.9379487,0.095898874,0.045641832,0.8,0.8
98,477,update_subscription_plan;dispatch_message_to_usergroup;reset_user_password;write_database_record,4,State Modification,Mixed,-15.179069,13.247999,-0.045452405,-0.062328164,1.0,1.0
99,478,update_subscription_plan;dispatch_message_to_usergroup;reset_user_password;write_database_record,4,State Modification,Mixed,-13.11484,11.94941,-0.14371336,-0.040398743,0.6,0.6
100,479,update_subscription_plan;dispatch_message_to_usergroup;reset_user_password;write_database_record,4,State Modification,Mixed,-13.201632,9.60212,-0.118312255,-0.048382346,0.8,0.2
101,480,update_subscription_plan;dispatch_message_to_usergroup;reset_user_password;write_database_record,4,State Modification,Mixed,-15.891347,11.985752,0.063481025,-0.043129925,1.0,1.0
102,481,update_subscription_plan;dispatch_message_to_usergroup;reset_user_password;write_database_record,4,State Modification,Mixed,-15.500868,12.874497,-0.1802984,-0.04445796,0.8,0.8
103,482,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,-13.08831,6.6124945,0.14919452,0.024375515,1.0,0.6
104,483,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,-6.0650034,-12.586255,0.10596108,0.01120091,0.6,0.4
105,484,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,-10.490816,8.082077,0.101578094,0.0027614061,0.8,0.6
106,485,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,-11.629589,6.9062495,0.13041247,-0.022154842,0.8,0.6
107,486,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,-12.910622,5.919092,0.1400967,0.010062845,0.6,0.6
108,487,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,16.319767,7.3967156,-0.0066994126,0.07152585,0.8,0.4
109,488,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,11.902845,13.417717,0.09136353,-0.015385456,1.0,0.2
110,489,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,-5.979441,10.703207,0.022545403,0.044701327,0.6,0.6
111,490,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,13.526379,6.1767616,0.035973493,0.01921786,1.0,0.2
112,491,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,15.497162,7.4566174,0.05303031,0.024428373,0.8,0.8
113,492,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,6.0137124,-4.1539507,0.026018223,0.13854927,1.0,0.6
114,493,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,5.6834846,-9.75983,-0.016718214,0.11159838,1.0,0.8
115,494,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,-5.9896007,7.938279,-0.049623236,0.0849591,0.2,0.4
116,495,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,11.126794,4.1745706,0.03237443,0.0052421563,1.0,0.2
117,496,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,5.448849,-5.8547726,0.06723661,0.15496513,0.6,0.6
118,497,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,1.886778,19.370758,-0.14712396,-0.0015152405,1.0,1.0
119,498,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,0.10372008,19.749636,-0.27796704,-0.0041514416,0.8,0.8
120,499,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,-1.7178086,19.779533,-0.10370502,-0.033585418,0.8,0.8
121,500,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,-0.3270683,18.195374,-0.10899184,-0.009948957,1.0,0.8
122,501,update_subscription_plan;route_task_by_condition;restart_service;edit_username,4,State Modification,Mixed,0.95675933,19.077066,-0.2309438,-0.018950213,1.0,1.0
123,502,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,18.089602,-2.849204,0.05300193,-0.07252591,0.6,0.6
124,503,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,18.454828,-5.5699544,0.003876668,-0.09710358,0.8,0.8
125,504,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,19.305273,-3.522632,0.061932154,-0.07400289,0.8,0.8
126,505,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,20.15791,-5.403167,0.060420465,-0.08424148,0.6,0.6
127,506,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,11.814272,-15.788777,0.07655163,-0.063903205,0.8,0.6
128,507,scan_system_for_malware;read_user_profile;write_database_record;route_task_by_condition;read_access_logs,5,Data Retrieval,Mixed,18.631899,-3.8799536,0.094663724,-0.09557042,0.6,0.6
129,508,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,16.89276,5.2555127,0.020279236,-0.0016031237,0.8,0.6
130,509,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,13.85294,4.4369664,0.023730982,-0.0332365,0.8,0.6
131,510,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,15.443919,3.8597274,0.040060386,0.017905835,1.0,0.8
132,511,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,7.7002687,11.486521,0.00022671082,-0.028612753,0.8,0.6
133,512,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,-5.2048182,-15.445989,-0.1303878,-0.013755204,0.6,0.2
134,513,write_database_record;check_service_status;scan_system_for_malware;read_subscription_status;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,15.8683195,3.417005,0.023270532,-0.004650936,0.8,0.8
135,514,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-4.689633,1.6619215,0.04619818,-0.00548827,0.8,0.8
136,515,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-2.8909628,2.6064687,0.108312786,-0.02915069,0.6,0.6
137,516,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-5.7202873,2.8361957,0.042412847,-0.002510686,1.0,1.0
138,517,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,2.5043244,-15.356602,-0.0025005373,-0.04014504,0.8,0.8
139,518,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,2.7646067,-15.279373,0.010877489,-0.009170724,0.6,0.6
140,519,read_subscription_status;update_subscription_plan;create_support_ticket;route_task_by_condition;reset_user_password,5,State Modification,Mixed,-5.0140386,2.787152,0.09065734,0.008706222,0.8,0.8
141,520,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,13.959478,-5.340658,0.13280725,-0.051174816,0.8,0.2
142,521,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,11.795096,1.2028984,0.07594609,-0.04355859,0.8,0.4
143,522,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,12.344917,-6.6618433,0.1451364,-0.08095719,0.8,0.6
144,523,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,-0.6332192,-17.645407,0.18447287,-0.08154626,1.0,0.8
145,524,read_user_profile;reset_user_password;check_service_status;read_database_record;dispatch_message_to_usergroup,5,Data Retrieval,Mixed,-0.64872164,-17.66223,0.07442567,-0.050378874,1.0,0.4
