canonical_dag_hash,action_label,gps_adapter_pca_x,gps_adapter_pca_y,gps_adapter_tsne_x,gps_adapter_tsne_y,v3_graph_pca_x,v3_graph_pca_y,v3_graph_tsne_x,v3_graph_tsne_y,sbert_document_pca_x,sbert_document_pca_y,sbert_document_tsne_x,sbert_document_tsne_y
ed829de37897a8ae,edit,0.62845504,-0.39611337,13.571778,-5.7725143,0.0900729,0.37199995,10.33108,15.6656065,-0.13015287,-0.053418614,-18.956877,-8.863754
3dac282a78234b06,edit,0.46388775,-0.4083723,12.98811,-6.9407268,-0.12730102,0.35522646,8.8146515,16.469088,-0.04630425,-0.011107264,-18.214746,-9.107754
ffd7a1a92f23b552,read,-0.6197838,0.4530412,-26.290169,-3.7009482,-0.388267,-0.5507755,-14.126358,-9.8396435,0.38579687,-0.553377,-2.6708484,16.849577
05d97ae3c92de16a,read,-0.63196725,0.44961068,-26.823956,-3.3404903,-0.32037896,-0.59948546,-13.63401,-9.3207445,0.39268646,-0.49346122,-2.6847231,15.965343
7bb0f34b479bb480,read,-0.60889953,0.4550966,-26.39376,-3.299321,-0.4642261,-0.54349345,-14.576323,-10.33224,0.36242592,-0.58961487,-2.2880292,17.260143
52b04974e355fb0f,read,-0.5553263,0.37135407,-26.7133,-2.5362852,-0.42197067,-0.7030622,-13.081318,-10.912131,0.42940116,-0.42561027,-2.2165084,16.197094
a713e4a8a177eedc,read,-0.4853312,0.32086435,-26.916298,-2.0548646,-0.37957877,-0.66634816,-12.837939,-11.464295,0.4009389,-0.46855035,-2.07458,16.491385
c2fe3d386fc63e96,read,-0.62234426,0.4347789,-26.104795,-3.1708033,-0.41586307,-0.4952309,-14.661617,-9.534099,0.3859441,-0.55121326,-2.9693422,16.810703
990100a21e602e80,edit,0.29777503,-0.14420472,4.6567726,6.7672215,0.21353853,0.109982066,1.7794998,24.198902,-0.18356141,0.5753412,-4.8669834,-18.8994
b779bdab30e6fb2b,edit,0.30298248,-0.26768237,4.1777816,6.3945,0.071623266,0.2994348,1.2612917,23.738077,-0.019566553,0.6790406,-5.4040527,-18.077244
e8a9ed148203922f,edit,0.32335618,-0.15965667,4.719388,6.3034244,0.3145411,0.1074743,2.2451262,23.545067,-0.28549546,0.55331737,-4.24803,-18.997719
eb6f97975f535ec6,edit,0.36335754,-0.202611,5.1318617,5.9332504,0.16473071,0.20123488,3.1050334,24.264503,-0.15899517,0.6468874,-4.5813046,-18.310163
14ca7f0eec549b52,edit,0.36593086,-0.22433715,5.0564146,5.6230235,0.14283894,0.24030377,3.4558673,24.32083,-0.11522803,0.63092303,-4.6960564,-18.111832
e45fda1e0c229c03,edit,0.33461145,-0.15986496,4.7251024,6.7982492,0.281708,0.12007266,2.0681734,23.6236,-0.1798863,0.54064226,-4.635691,-19.185255
98823e9b56e9b7dc,edit,0.7349617,-0.24261133,19.544762,2.3264234,0.61200887,0.35503796,16.734274,-3.7799606,-0.4647097,0.28208238,5.332496,-7.4370956
cf5d5a7473074174,edit,0.78437847,-0.08791011,19.47637,3.0761957,0.6505811,0.06386505,17.715477,-3.355454,-0.49569237,0.3348105,5.109402,-6.917035
