tool,precision,recall,f1,support
db_read,0.7419354838709677,0.34328358208955223,0.46938775510204084,67
db_write,0.6582278481012658,0.7761194029850746,0.7123287671232876,67
reset_password,0.9436619718309859,1.0,0.9710144927536232,67
create_ticket,0.7708333333333334,0.5522388059701493,0.6434782608695652,67
send_notification,0.7894736842105263,0.44776119402985076,0.5714285714285714,67
quarantine_system,0.4166666666666667,0.29850746268656714,0.34782608695652173,67
scan_malware,0.9545454545454546,0.6268656716417911,0.7567567567567568,67
generate_report,0.2742616033755274,0.9701492537313433,0.4276315789473684,67
process_refund,0.7045454545454546,0.4626865671641791,0.5585585585585585,67
update_subscription,0.7701149425287356,1.0,0.8701298701298701,67
provision_vm,0.44554455445544555,0.6716417910447762,0.5357142857142857,67
restart_service,1.0,0.5373134328358209,0.6990291262135923,67
check_status,0.0,0.0,0.0,67
escalate_to_human,0.4857142857142857,0.7611940298507462,0.5930232558139535,67
log_audit_event,0.75,0.40298507462686567,0.5242718446601942,67
