condition,tool,precision,recall,f1,support
Lexical,db_read,0.4,0.1791044776119403,0.24742268041237114,67
Lexical,db_write,0.21686746987951808,0.26865671641791045,0.24,67
Lexical,reset_password,0.618421052631579,0.7014925373134329,0.6573426573426573,67
Lexical,create_ticket,0.13986013986013987,0.29850746268656714,0.19047619047619047,67
Lexical,send_notification,0.06666666666666667,0.04477611940298507,0.05357142857142857,67
Lexical,quarantine_system,0.16129032258064516,0.14925373134328357,0.15503875968992248,67
Lexical,scan_malware,0.5087719298245614,0.43283582089552236,0.46774193548387094,67
Lexical,generate_report,0.046875,0.04477611940298507,0.04580152671755725,67
Lexical,process_refund,0.0,0.0,0.0,67
Lexical,update_subscription,0.5333333333333333,0.5970149253731343,0.5633802816901409,67
Lexical,provision_vm,0.043478260869565216,0.029850746268656716,0.035398230088495575,67
Lexical,restart_service,0.52,0.19402985074626866,0.2826086956521739,67
Lexical,check_status,0.36363636363636365,0.05970149253731343,0.10256410256410256,67
Lexical,escalate_to_human,0.3489583333333333,1.0,0.5173745173745173,67
Lexical,log_audit_event,0.425531914893617,0.29850746268656714,0.3508771929824561,67
