condition,tool,precision,recall,f1,support
Lexical,db_read,0.3225806451612903,0.14925373134328357,0.20408163265306123,67
Lexical,db_write,0.26666666666666666,0.23880597014925373,0.25196850393700787,67
Lexical,reset_password,0.6027397260273972,0.6567164179104478,0.6285714285714286,67
Lexical,create_ticket,0.16296296296296298,0.3283582089552239,0.21782178217821782,67
Lexical,send_notification,0.04081632653061224,0.029850746268656716,0.034482758620689655,67
Lexical,quarantine_system,0.0784313725490196,0.05970149253731343,0.06779661016949153,67
Lexical,scan_malware,0.5192307692307693,0.40298507462686567,0.453781512605042,67
Lexical,generate_report,0.09090909090909091,0.1044776119402985,0.09722222222222222,67
Lexical,process_refund,0.0,0.0,0.0,67
Lexical,update_subscription,0.609375,0.582089552238806,0.5954198473282443,67
Lexical,provision_vm,0.07446808510638298,0.1044776119402985,0.08695652173913043,67
Lexical,restart_service,0.5925925925925926,0.23880597014925373,0.3404255319148936,67
Lexical,check_status,0.4,0.05970149253731343,0.1038961038961039,67
Lexical,escalate_to_human,0.2803347280334728,1.0,0.43790849673202614,67
Lexical,log_audit_event,0.35714285714285715,0.14925373134328357,0.21052631578947367,67
