condition,tool,precision,recall,f1,support
Paraphrase,db_read,0.6521739130434783,0.42857142857142855,0.5172413793103449,70
Paraphrase,db_write,0.4024390243902439,0.7333333333333333,0.5196850393700787,90
Paraphrase,reset_password,0.9032258064516129,0.9882352941176471,0.9438202247191011,85
Paraphrase,create_ticket,0.49142857142857144,0.7818181818181819,0.6035087719298246,110
Paraphrase,send_notification,0.5892857142857143,0.33,0.4230769230769231,100
Paraphrase,quarantine_system,0.10714285714285714,0.12,0.11320754716981132,75
Paraphrase,scan_malware,0.8367346938775511,0.5466666666666666,0.6612903225806451,75
Paraphrase,generate_report,0.22772277227722773,0.46,0.304635761589404,50
Paraphrase,process_refund,0.0,0.0,0.0,85
Paraphrase,update_subscription,0.7228915662650602,1.0,0.8391608391608392,60
Paraphrase,provision_vm,0.11538461538461539,0.05714285714285714,0.07643312101910828,105
Paraphrase,restart_service,0.8870967741935484,0.7333333333333333,0.8029197080291971,75
Paraphrase,check_status,0.9285714285714286,0.3391304347826087,0.4968152866242038,115
Paraphrase,escalate_to_human,0.4506172839506173,0.9125,0.6033057851239669,80
Paraphrase,log_audit_event,0.5135135135135135,0.475,0.4935064935064935,80
