condition,tool,precision,recall,f1,support
Confusable,db_read,0.4772727272727273,0.7,0.5675675675675675,30
Confusable,db_write,0.17647058823529413,0.3,0.2222222222222222,30
Confusable,reset_password,0.7931034482758621,0.7666666666666667,0.7796610169491526,30
Confusable,create_ticket,0.5555555555555556,0.3333333333333333,0.4166666666666667,30
Confusable,send_notification,0.25,0.06666666666666667,0.10526315789473684,30
Confusable,quarantine_system,0.0,0.0,0.0,30
Confusable,scan_malware,0.46551724137931033,0.9,0.6136363636363636,30
Confusable,generate_report,0.0,0.0,0.0,30
Confusable,process_refund,0.0,0.0,0.0,30
Confusable,update_subscription,0.47619047619047616,1.0,0.6451612903225806,30
Confusable,provision_vm,0.25,0.3,0.2727272727272727,30
Confusable,restart_service,0.2777777777777778,0.3333333333333333,0.30303030303030304,30
Confusable,check_status,0.6153846153846154,0.26666666666666666,0.37209302325581395,30
Confusable,escalate_to_human,0.5084745762711864,1.0,0.6741573033707865,30
Confusable,log_audit_event,0.14285714285714285,0.06666666666666667,0.09090909090909091,30
