condition,tool,precision,recall,f1,support
Standard,db_read,0.7142857142857143,0.5223880597014925,0.603448275862069,67
Standard,db_write,0.4732142857142857,0.7910447761194029,0.5921787709497207,67
Standard,reset_password,0.9305555555555556,1.0,0.9640287769784173,67
Standard,create_ticket,0.4174757281553398,0.6417910447761194,0.5058823529411764,67
Standard,send_notification,0.6363636363636364,0.31343283582089554,0.42,67
Standard,quarantine_system,0.1111111111111111,0.1044776119402985,0.1076923076923077,67
Standard,scan_malware,0.573170731707317,0.7014925373134329,0.6308724832214765,67
Standard,generate_report,0.2692307692307692,0.208955223880597,0.23529411764705882,67
Standard,process_refund,0.0,0.0,0.0,67
Standard,update_subscription,0.6203703703703703,1.0,0.7657142857142857,67
Standard,provision_vm,0.14893617021276595,0.1044776119402985,0.12280701754385964,67
Standard,restart_service,0.8852459016393442,0.8059701492537313,0.84375,67
Standard,check_status,0.8387096774193549,0.3880597014925373,0.5306122448979592,67
Standard,escalate_to_human,0.44537815126050423,0.7910447761194029,0.5698924731182796,67
Standard,log_audit_event,0.5892857142857143,0.4925373134328358,0.5365853658536586,67
